name,price,old_price,discount,rating,reviews,link,page
Hisense WSPA503 WM 5kg Twin Tub Machine,"₦ 170,000",N/A,32%,N/A,N/A,https://www.jumia.com.ng/hisense-wspa503-wm-5kg-twin-tub-machine-71786425.html,1
3 Litres Whistling Gas & Stove Kettle,"₦ 12,000",N/A,N/A,N/A,N/A,https://www.jumia.com.ng/3-litres-whistling-gas-stove-kettle-generic-mpg9623833.html,1
Hisense 5kg Manual Washing Machine Twin Tub With Lint Filter,"₦ 162,315",N/A,26%,N/A,N/A,https://www.jumia.com.ng/hisense-5kg-manual-washing-machine-twin-tub-with-lint-filter-73456941.html,1
Binatone 3 Litres Electric Jug (CEJ-3000) - Black + 2 Years Warranty,"₦ 31,919",N/A,36%,N/A,N/A,https://www.jumia.com.ng/binatone-3-litres-electric-jug-cej-3000-black-2-years-warranty-11450074.html,1
Legacy 8L Yampounder And Multifunctional Food Machine Cooper Motor,"₦ 46,500",N/A,15%,N/A,N/A,https://www.jumia.com.ng/8l-yampounder-and-multifunctional-food-machine-cooper-motor-legacy-mpg11477566.html,1
Qasa 2 Litres (QBL-8008 Pro) Commercial Blender,"₦ 58,900",N/A,1%,N/A,N/A,https://www.jumia.com.ng/qasa-2-litres-qbl-8008-pro-commercial-blender-46283728.html,1
Binatone 1.7 Litres (CEJ-1780) Electric Kettle - White + 2 Years Warranty,"₦ 22,894",N/A,43%,N/A,N/A,https://www.jumia.com.ng/binatone-1.7-litres-cej-1780-electric-kettle-white-2-years-warranty-8936693.html,1
Binatone Steam Iron (SI-1605) - Blue + 2 Years Warranty,"₦ 16,339",N/A,36%,N/A,N/A,https://www.jumia.com.ng/binatone-steam-iron-si-1605-blue-2-years-warranty-22867919.html,1
AKAI 4.0kg Washing Machine - Spinning + Draining Function,"₦ 165,000",N/A,25%,N/A,N/A,https://www.jumia.com.ng/akai-4.0kg-washing-machine-spinning-draining-function-70586641.html,1
ActiveO Bedbug And Insect Killer With Diatomaceous Earth - 500g,"₦ 12,500",N/A,14%,N/A,N/A,https://www.jumia.com.ng/bedbug-and-insect-killer-with-diatomaceous-earth-500g-activeo-mpg1593957.html,1
"SILVER CREST German Industrial Food Crusher Blender, EXTRA MILL JAR","₦ 28,000",N/A,38%,N/A,N/A,https://www.jumia.com.ng/silver-crest-german-industrial-food-crusher-blender-extra-mill-jar-71791179.html,1
Century Quality Electric Spray & Steam Iron.,"₦ 33,000",N/A,27%,N/A,N/A,https://www.jumia.com.ng/century-quality-electric-spray-steam-iron.-71788248.html,1
Blender + Electric Cooker + Electric Kettle + Toaster,"₦ 56,000",N/A,14%,N/A,N/A,https://www.jumia.com.ng/jumia-bundles-blender-electric-cooker-electric-kettle-toaster-38592353.html,1
"SILVER CREST German Industrial 8500W Food Crusher Blender, EXTRA MILL JAR","₦ 31,000",N/A,31%,N/A,N/A,https://www.jumia.com.ng/silver-crest-german-industrial-8500w-food-crusher-blender-extra-mill-jar-72157761.html,1
SILVER CREST 2 Litres German Industrial Blender 8500W,"₦ 31,000",N/A,31%,N/A,N/A,https://www.jumia.com.ng/silver-crest-2-litres-german-industrial-blender-8500w-72172768.html,1
N/A,"₦ 5,994","₦ 7,229",N/A,3.9 out of 5,3.9 out of 5(10017),https://www.jumia.com.ng/syinix-2.2l-electric-kettle-silver-ske22u1-363941133.html,1
N/A,"₦ 6,471","₦ 7,095",N/A,3.8 out of 5,3.8 out of 5(4787),https://www.jumia.com.ng/electric-iron-pressing-clothes-1000w-hansen-mpg11131816.html,1
N/A,"₦ 8,940",N/A,N/A,3.8 out of 5,3.8 out of 5(1165),https://www.jumia.com.ng/tropicwhirl-dry-iron-1000w-white-blue-418394176.html,1
N/A,"₦ 13,759","₦ 16,515",N/A,4 out of 5,4 out of 5(3328),https://www.jumia.com.ng/binatone-dry-iron-di1255-2-years-warranty-102988845.html,1
N/A,"₦ 6,353","₦ 7,066",N/A,4 out of 5,4 out of 5(780),https://www.jumia.com.ng/boscon-1.8-liters-powerful-fast-heating-electric-jug-kettle-404625787.html,1
N/A,"₦ 12,800","₦ 20,000",N/A,4.4 out of 5,4.4 out of 5(188),https://www.jumia.com.ng/sonik-inverter-friendly-solar-pressing-iron-250w-408401756.html,1
N/A,"₦ 11,330","₦ 14,000",N/A,4.2 out of 5,4.2 out of 5(144),https://www.jumia.com.ng/ridax-bedbugs-killer-spray-404625724.html,1
N/A,"₦ 48,424","₦ 53,266",N/A,4.5 out of 5,4.5 out of 5(25),https://www.jumia.com.ng/syinix-2l-mega-crusher-1500w-heavy-duty-industrial-multipurpose-blender-pure-copper-motor-418560007.html,1
N/A,"₦ 13,300","₦ 14,000",N/A,4.3 out of 5,4.3 out of 5(124),https://www.jumia.com.ng/acdc-inverter-friendly-solar-pressing-iron-250w-sonik-mpg11508235.html,1
N/A,"₦ 65,000","₦ 95,000",N/A,3.7 out of 5,3.7 out of 5(79),https://www.jumia.com.ng/8-in-1-multi-purpose-grinder-4.0l-9500w-bardefu-mpg11939409.html,1
N/A,"₦ 12,000","₦ 25,000",N/A,4.4 out of 5,4.4 out of 5(153),https://www.jumia.com.ng/qasa-acdc-dry-iron-300w-inverter-frendly-qdl-300-408854931.html,1
N/A,"₦ 6,854","₦ 10,430",N/A,3.2 out of 5,3.2 out of 5(79),https://www.jumia.com.ng/generic-3-in-1-mini-dry-portable-handheld-usb-rechargeable-wireless-car-vacuum-cleaner-373873355.html,1
N/A,"₦ 14,900","₦ 35,900",N/A,4 out of 5,4 out of 5(33),https://www.jumia.com.ng/taigexin-hanging-electric-mosquito-insect-killer-range-lamp-6w-418490861.html,1
N/A,"₦ 33,733","₦ 40,480",N/A,4.1 out of 5,4.1 out of 5(127),https://www.jumia.com.ng/binatone-1.5-litres-blg-403-blender-black-2-years-warranty-16292546.html,1
N/A,"₦ 43,000","₦ 55,000",N/A,3.9 out of 5,3.9 out of 5(223),https://www.jumia.com.ng/silver-crest-9.0-litres-yam-pounder-food-processor-98326930.html,1
N/A,"₦ 32,205","₦ 38,650",N/A,4.5 out of 5,4.5 out of 5(160),https://www.jumia.com.ng/smooth-gliding-steam-iron-si-2410-binatone-mpg1662357.html,1
N/A,"₦ 8,075","₦ 8,500",N/A,4.1 out of 5,4.1 out of 5(184),https://www.jumia.com.ng/nine-1.8l-electric-kettle-sh-01-280233718.html,1
N/A,"₦ 13,904","₦ 23,500",N/A,3.3 out of 5,3.3 out of 5(47),https://www.jumia.com.ng/generic-electric-iron-multifunctional-dry-ironing-black-362550423.html,1
N/A,"₦ 17,880","₦ 29,800",N/A,5 out of 5,5 out of 5(2),https://www.jumia.com.ng/generic-double-sided-glass-cleaning-tool-for-windows-mirrors-and-shower-doors-418821529.html,1
N/A,"₦ 13,240","₦ 20,000",N/A,4.4 out of 5,4.4 out of 5(56),https://www.jumia.com.ng/generic-solar-inverter-low-voltage-generator-friendly-pressing-iron-418650165.html,1
N/A,"₦ 14,146","₦ 25,000",N/A,3.7 out of 5,3.7 out of 5(88),https://www.jumia.com.ng/orvica-ultraglide-steam-iron-dry-iron-energy-efficient-pro-steam-technology-infused-ceramic-soleplate-nonstick-variable-temperature-and-self-clean-function.-413268323.html,1
N/A,"₦ 5,409","₦ 11,622",N/A,3.5 out of 5,3.5 out of 5(169),https://www.jumia.com.ng/generic-electric-cup-mini-electric-cooking-pot-all-in-one-271855178.html,1
N/A,"₦ 21,605","₦ 34,270",N/A,4.1 out of 5,4.1 out of 5(81),https://www.jumia.com.ng/timbutus-wireless-vacuum-cleaner-rechargeable-for-car-home-120w-363472816.html,1
N/A,"₦ 23,810","₦ 28,575",N/A,4.5 out of 5,4.5 out of 5(310),https://www.jumia.com.ng/1.7-litres-auto-stop-electric-kettle-cej-1750-redwhite-binatone-mpg11456726.html,1
N/A,"₦ 17,714","₦ 71,883",N/A,3.6 out of 5,3.6 out of 5(16),https://www.jumia.com.ng/generic-lm-no-more-sweat-premium-auto-grinde-for-meat-grinder-fufu-pounding-machine-409001748.html,1
N/A,"₦ 8,278","₦ 29,800",N/A,3.3 out of 5,3.3 out of 5(8),https://www.jumia.com.ng/mythco-bug-zapper-racket-2-in-1-electric-fly-swatter-usb-rechargeable-4000v-high-voltage-mosquito-killer-with-180-rotation-3-layer-safety-net-for-indoor-outdoor-use-418622011.html,1
N/A,"₦ 7,450","₦ 22,350",N/A,3.2 out of 5,3.2 out of 5(6),https://www.jumia.com.ng/generic-handheld-cordless-car-vacuum-cleaner-portable-rechargeable-418573875.html,1
N/A,"₦ 39,376","₦ 45,900",N/A,5 out of 5,5 out of 5(2),https://www.jumia.com.ng/sonik-electric-insect-killer40w-104733335.html,1
N/A,"₦ 37,745","₦ 95,000",N/A,3.4 out of 5,3.4 out of 5(5),https://www.jumia.com.ng/generic-powerful-8l-food-processor-yam-pounder-machine-401072276.html,1
N/A,"₦ 18,050","₦ 19,000",N/A,3.4 out of 5,3.4 out of 5(19),https://www.jumia.com.ng/nine-3ltr-yam-pounder-food-processor-sr-jrj-3-415875965.html,1
N/A,"₦ 26,600","₦ 40,500",N/A,4 out of 5,4 out of 5(42),https://www.jumia.com.ng/qasa-2l-litres-500w-blender-grinder-qbl-20l40-eco-411766621.html,1
N/A,"₦ 8,742","₦ 22,350",N/A,3.5 out of 5,3.5 out of 5(15),https://www.jumia.com.ng/timbutus-portable-cordless-vacuum-cleaner-for-car-home-120w-413746125.html,1
N/A,"₦ 2,840","₦ 2,990",N/A,5 out of 5,5 out of 5(4),https://www.jumia.com.ng/generic-10pc-super-active-cockroach-insect-killer-repellant-418684276.html,1
N/A,"₦ 9,403","₦ 19,370",N/A,3.7 out of 5,3.7 out of 5(15),https://www.jumia.com.ng/generic-usb-folding-handheld-indoor-outdoor-mosquito-swatters-418180568.html,1
N/A,"₦ 7,990","₦ 55,000",N/A,3.7 out of 5,3.7 out of 5(61),https://www.jumia.com.ng/teknocool-cordless-electric-kettle-jug-free-gift-inside-388958106.html,1
N/A,"₦ 11,352","₦ 11,950",N/A,4.2 out of 5,4.2 out of 5(5),https://www.jumia.com.ng/generic-rechargeable-electric-shock-mosquito-killer-lamp-418572920.html,1
N/A,"₦ 112,942","₦ 175,299",N/A,4.4 out of 5,4.4 out of 5(143),https://www.jumia.com.ng/syinix-swallow-maker-fully-automatic-fufuebayam-pounder-288550293.html,1
N/A,"₦ 15,105 - ₦ 19,855","₦ 15,900 - ₦ 20,900",N/A,4.4 out of 5,4.4 out of 5(8),https://www.jumia.com.ng/generic-stainless-steel-whistling-kettlegass-stove-free-brush-336457569.html,1
N/A,"₦ 8,925","₦ 22,350",N/A,4.7 out of 5,4.7 out of 5(3),https://www.jumia.com.ng/generic-rechargeable-electric-shock-mosquito-killing-lamp-household-portable-419096858.html,1
N/A,"₦ 7,741","₦ 18,041",N/A,3.6 out of 5,3.6 out of 5(19),https://www.jumia.com.ng/generic-intelligent-rechargeable-mosquito-swatter-408161111.html,1
N/A,"₦ 9,998","₦ 21,411",N/A,3.7 out of 5,3.7 out of 5(25),https://www.jumia.com.ng/addigoes-2-in-1-electric-mosquito-swatter-lamp-rechargeable-insect-repellent-with-triple-safety-mesh-led-indicator-anti-shock-design-for-night-use-403884289.html,2
N/A,"₦ 2,995","₦ 8,225",N/A,1.7 out of 5,1.7 out of 5(3),https://www.jumia.com.ng/generic-lm-multifunctional-and-portable-small-electric-mixer-418655088.html,2
N/A,"₦ 9,025","₦ 25,000",N/A,4.3 out of 5,4.3 out of 5(3),https://www.jumia.com.ng/generic-powerful-fast-heating-electric-jug-kettle-2.0l-263075540.html,2
N/A,"₦ 23,550","₦ 32,012",N/A,4.2 out of 5,4.2 out of 5(112),https://www.jumia.com.ng/generic-rechargeable-cordless-wet-and-dry-vacuum-cleaner-150467788.html,2
N/A,"₦ 28,500","₦ 38,000",N/A,4.4 out of 5,4.4 out of 5(13),https://www.jumia.com.ng/qasa-blender-power-efficient-350w-qbl-18l40-401710809.html,2
N/A,"₦ 12,824","₦ 13,499",N/A,4.3 out of 5,4.3 out of 5(88),https://www.jumia.com.ng/nine-1.8l-electric-kettle-sh-03-279926314.html,2
N/A,"₦ 14,900","₦ 35,900",N/A,3.6 out of 5,3.6 out of 5(16),https://www.jumia.com.ng/electric-mosquito-insect-killer-range-lamp-6w-taigexin-mpg11183923.html,2
N/A,"₦ 28,880","₦ 45,000",N/A,2.5 out of 5,2.5 out of 5(2),https://www.jumia.com.ng/silver-crest-10000-watts-multifunctional-commercial-blender-with-dry-mill-67984734.html,2
N/A,"₦ 36,958","₦ 94,272",N/A,4.5 out of 5,4.5 out of 5(4),https://www.jumia.com.ng/addigoes-5l-yam-pounder-3-speed-500w-electric-meat-grinder-household-meat-grinder-electric-food-chopper-multi-function-food-processor-meat-grinder-with-handle-to-meet-the-needs-of-familyparty-and-other-occasions-418511325.html,2
N/A,"₦ 18,525","₦ 19,500",N/A,3.7 out of 5,3.7 out of 5(31),https://www.jumia.com.ng/nine-3l-yam-pounder-food-processorsr-jrj-3-415677899.html,2
N/A,"₦ 12,200","₦ 20,000",N/A,4.4 out of 5,4.4 out of 5(106),https://www.jumia.com.ng/pyramid-electric-kettle-2.2l-silver-253575450.html,2
N/A,"₦ 17,880","₦ 37,250",N/A,5 out of 5,5 out of 5(1),https://www.jumia.com.ng/generic-double-sided-glass-cleaning-tool-for-windows-mirrors-and-shower-doors-418821740.html,2
N/A,"₦ 14,300",N/A,N/A,4.3 out of 5,4.3 out of 5(134),https://www.jumia.com.ng/qasa-energy-saving-and-inverter-dry-iron-300-watts-qdl-300-311662749.html,2
N/A,"₦ 8,265","₦ 8,700",N/A,4.1 out of 5,4.1 out of 5(9),https://www.jumia.com.ng/nine-electric-food-mixer-3-speeds-wireless-portable-automatic-whisk-butter-egg-beater-baking-cake-whipper-kitchen-hand-blender-automatic-whisk-butter-egg-beater-baking-cake-whipper-kitchen-hand-blender-415680846.html,2
N/A,"₦ 43,000","₦ 56,000",N/A,4.4 out of 5,4.4 out of 5(29),https://www.jumia.com.ng/silver-crest-9.0litres-yam-pounder-food-processor-75675793.html,2
N/A,"₦ 30,200","₦ 41,748",N/A,3.5 out of 5,3.5 out of 5(17),https://www.jumia.com.ng/generic-portable-handheld-vacuum-cleaner-high-power-strong-suction-257936066.html,2
N/A,"₦ 7,600","₦ 8,000",N/A,5 out of 5,5 out of 5(3),https://www.jumia.com.ng/generic-iron-teflon-shoe-407678056.html,2
N/A,"₦ 18,500","₦ 26,820",N/A,4.1 out of 5,4.1 out of 5(17),https://www.jumia.com.ng/generic-iron-multifunctional-dry-ironing-steaming-1800w-black-362550563.html,2
N/A,"₦ 10,010","₦ 14,528",N/A,4 out of 5,4 out of 5(1),https://www.jumia.com.ng/generic-rechargeable-electric-mosquito-killer-bat-swatter1200mah-408154795.html,2
N/A,"₦ 28,310","₦ 35,000",N/A,4.5 out of 5,4.5 out of 5(2),https://www.jumia.com.ng/sonik-electric-insect-killer12w-104733604.html,2
N/A,"₦ 8,549","₦ 10,999",N/A,5 out of 5,5 out of 5(2),https://www.jumia.com.ng/deadbug-deadbug-organic-cockroach-killer-50ml-x-2-pieces-food-bait-391071859.html,2
N/A,"₦ 39,899","₦ 42,500",N/A,N/A,N/A,https://www.jumia.com.ng/sonik-electric-insect-killer30w-104733295.html,2
N/A,"₦ 5,224","₦ 7,499",N/A,4 out of 5,4 out of 5(2),https://www.jumia.com.ng/deadbug-deadbug-organic-rat-bait-balls-365432030.html,2
N/A,"₦ 39,515","₦ 104,300",N/A,5 out of 5,5 out of 5(2),https://www.jumia.com.ng/generic-premium-luxury-mosquito-zapper-1-electric-bug-fly-killer-4200v-high-voltage-3-prong-plug-indoor-outdoor-use-durable-abs-plastic-220v-240v-black-418079140.html,2
N/A,"₦ 73,000","₦ 75,000",N/A,4.1 out of 5,4.1 out of 5(49),https://www.jumia.com.ng/food-processor-and-yam-pounding-machine-century-mpg1240790.html,2
N/A,"₦ 3,325","₦ 3,500",N/A,2.7 out of 5,2.7 out of 5(3),https://www.jumia.com.ng/generic-usb-powered-electric-shock-mosquito-killer-418622995.html,2
N/A,"₦ 17,475","₦ 18,433",N/A,3.5 out of 5,3.5 out of 5(2),https://www.jumia.com.ng/generic-usb-electric-mosquito-killer-lamp-powerful-mosquito-killer-344619980.html,2
N/A,"₦ 44,365","₦ 67,000",N/A,4 out of 5,4 out of 5(1),https://www.jumia.com.ng/legacy-yam-pounder-tiger-nut-grinder-any-dry-grinding-8.0l-122044993.html,2
N/A,"₦ 12,824","₦ 13,499",N/A,4.1 out of 5,4.1 out of 5(48),https://www.jumia.com.ng/nine-1.8l-electric-kettle-sh-02-279926809.html,2
N/A,"₦ 12,349","₦ 16,999",N/A,3.7 out of 5,3.7 out of 5(7),https://www.jumia.com.ng/organic-cockroach-killer-buy-3-get-1-free-deadbug-mpg9209043.html,2
N/A,"₦ 43,900","₦ 86,120",N/A,4.1 out of 5,4.1 out of 5(47),https://www.jumia.com.ng/binatone-1.5-litres-blg-620-blendergrinder-with-stick-black-16641656.html,2
N/A,"₦ 10,666","₦ 14,900",N/A,3.5 out of 5,3.5 out of 5(2),https://www.jumia.com.ng/generic-mini-compact-portable-car-vacuum-cleaner-for-car-and-home-usb-wireless-rechargeable-418458531.html,2
N/A,"₦ 14,597","₦ 19,110",N/A,N/A,N/A,https://www.jumia.com.ng/generic-360-uv-light-electric-mosquito-killer-lamp-rechargeable-shock-mosquito-zapper-for-bedroom-camping-418842339.html,2
N/A,"₦ 45,000","₦ 67,000",N/A,3.9 out of 5,3.9 out of 5(8),https://www.jumia.com.ng/pinnacle-8.5litres-yam-pounderfood-processor-3200w-180243207.html,2
N/A,"₦ 45,000","₦ 65,000",N/A,4.8 out of 5,4.8 out of 5(10),https://www.jumia.com.ng/generic-yam-pounder-and-multifunctional-food-machine-big-bowl-249088709.html,2
N/A,"₦ 75,000","₦ 95,000",N/A,N/A,N/A,https://www.jumia.com.ng/silver-crest-8litres-silvercrest-german-yam-pounderfood-processor-3500w-212483415.html,2
N/A,"₦ 25,999","₦ 30,000",N/A,3.2 out of 5,3.2 out of 5(6),https://www.jumia.com.ng/gourmet-multifunctional-food-processoryam-pounder-3l-404317199.html,2
N/A,"₦ 12,350","₦ 13,000",N/A,N/A,N/A,https://www.jumia.com.ng/generic-iron-teflon-2-pieces-418752227.html,2
N/A,"₦ 17,640","₦ 58,800",N/A,N/A,N/A,https://www.jumia.com.ng/generic-3-in-1-type-c-rechargeable-electric-blendermixerfood-choppergrinder-milky-color2304-stainless-steel-tritan-bpa-free-beaters-for-whipping-eggscreamgrind-spicesmixing-baby-foodportable-kitchen-helper-for-baking-cooking-gifts-for-wife-418865322.html,2
N/A,"₦ 4,559","₦ 6,499",N/A,3.5 out of 5,3.5 out of 5(17),https://www.jumia.com.ng/deadbug-bedbug-magic-powder-no-chemical-all-natural-10g-x-3-216668048.html,2
N/A,"₦ 8,550","₦ 15,000",N/A,5 out of 5,5 out of 5(1),https://www.jumia.com.ng/fast-heating-electric-jug-kettle-generic-mpg9589759.html,3
N/A,"₦ 155,999","₦ 160,000",N/A,4 out of 5,4 out of 5(1),https://www.jumia.com.ng/syinix-5l-stainless-electric-yam-pounding-machine-cooker-pounder-216264826.html,3
N/A,"₦ 9,024","₦ 11,499",N/A,3.8 out of 5,3.8 out of 5(12),https://www.jumia.com.ng/deadbug-organic-no-chemical-bedbug-killer-2-bottles-264007385.html,3
